"record_id","name","slug","status","platform_category","current_role","current_company","headline","bio_short","bio_long","country","city","region","timezone","primary_category","secondary_categories","specialties","seniority_level","engagement_type","industry_focus","market_focus","company_size_focus","languages","years_experience","key_contribution","notable_achievements","notable_clients_or_brands","speaking_engagements","podcasts_or_interviews","books_or_newsletters","case_studies","certifications","services_offered","problems_they_solve","ideal_for","personal_website","company_website","linkedin_url","x_url","github_url","other_social_urls","profile_image_url","source_urls","source_notes","confidence_score","last_verified_at","crawl_seed_query","crawl_priority","manual_review_notes"
"ivan-palii","Ivan Palii","ivan-palii","approved","Technical SEO","Head of Product, Sitechecker","Sitechecker","","Creates popular, free Looker Studio templates for SEO reporting.","","","","","","Technical SEO","","","","","","","","","","Creates popular, free Looker Studio templates for SEO reporting.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Ivan Palii Head of Product, Sitechecker Technical SEO SEO","normal",""
"ivan-radica","Ivan Radica","ivan-radica","approved","E-commerce SEO","Co-founder & CMO, SEO LICK","SEO LICK","","Runs an agency scaling small-to-mid e-commerce brands via SEO.","","","","","","E-commerce SEO","","","","","","","","","","Runs an agency scaling small-to-mid e-commerce brands via SEO.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Ivan Radica Co-founder & CMO, SEO LICK E-commerce SEO SEO","normal",""
"jairo-guerrero","Jairo Guerrero","jairo-guerrero","approved","General SEO","Founder, Organic Hackers","Organic Hackers","","Known for creative, sometimes unconventional SEO tactics. The “insane strategies” guy.","","","","","","General SEO","","","","","","","","","","Known for creative, sometimes unconventional SEO tactics. The “insane strategies” guy.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Jairo Guerrero Founder, Organic Hackers General SEO SEO","normal",""
"jake-ward","Jake Ward","jake-ward","approved","General SEO","Founder, Contact (SEO agency)","Contact (SEO agency)","","Drives ~$20M/year in client revenue. Shares daily LinkedIn posts about scaling SaaS SEO.","","","","","","General SEO","","","","","","","","","","Drives ~$20M/year in client revenue. Shares daily LinkedIn posts about scaling SaaS SEO.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Jake Ward Founder, Contact (SEO agency) General SEO SEO","normal",""
"james-reynolds","James Reynolds","james-reynolds","approved","General SEO","Founder & MD, SEO Sherpa","SEO Sherpa","","Founded an award-winning international agency. Known for transparent case studies.","","","","","","General SEO","","","","","","","","","","Founded an award-winning international agency. Known for transparent case studies.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","James Reynolds Founder & MD, SEO Sherpa General SEO SEO","normal",""
"jamie-indigo","Jamie Indigo","jamie-indigo","approved","Technical SEO","Technical SEO Consultant","","","OG technical SEO & bot specialist. Known for “speaking bot” – expertise in JavaScript SEO, crawling, and indexation.","","","","","","Technical SEO","","","","","","","","","","OG technical SEO & bot specialist. Known for “speaking bot” – expertise in JavaScript SEO, crawling, and indexation.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Jamie Indigo Technical SEO Consultant Technical SEO SEO","normal",""
"jean-christophe-chouinard","Jean-Christophe Chouinard","jean-christophe-chouinard","approved","AI SEO","Sr. SEO Strategist, Tripadvisor","Tripadvisor","","Helps the community learn Python for SEO. Known for automating SEO tasks.","","","","","","AI SEO","","","","","","","","","","Helps the community learn Python for SEO. Known for automating SEO tasks.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Jean-Christophe Chouinard Sr. SEO Strategist, Tripadvisor AI SEO SEO","normal",""
"jes-scholz","Jes Scholz","jes-scholz","approved","General SEO","International Digital Strategist","","","Shares data-driven analyses of market-specific search trends. Speaker on emerging market search behaviors.","","","","","","General SEO","","","","","","","","","","Shares data-driven analyses of market-specific search trends. Speaker on emerging market search behaviors.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Jes Scholz International Digital Strategist General SEO SEO","normal",""
"jesse-mcfarland","Jesse McFarland","jesse-mcfarland","approved","Content SEO","Founder, SpearPoint Marketing","SpearPoint Marketing","","Specializes in B2B and e-commerce SEO content that drives leads.","","","","","","Content SEO","","","","","","","","","","Specializes in B2B and e-commerce SEO content that drives leads.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Jesse McFarland Founder, SpearPoint Marketing Content SEO SEO","normal",""
"jessica-redman","Jessica Redman","jessica-redman","approved","Content SEO","SEO Content Strategist","","","Shares “SEO as it is” – frank opinions on industry fads and realities.","","","","","","Content SEO","","","","","","","","","","Shares “SEO as it is” – frank opinions on industry fads and realities.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Jessica Redman SEO Content Strategist Content SEO SEO","normal",""
"joe-davies","Joe Davies","joe-davies","approved","General SEO","Co-founder & CEO, FATJOE","FATJOE","","Built FATJOE (productized SEO & link-building platform). Known for blunt takes on industry “BS”.","","","","","","General SEO","","","","","","","","","","Built FATJOE (productized SEO & link-building platform). Known for blunt takes on industry “BS”.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Joe Davies Co-founder & CEO, FATJOE General SEO SEO","normal",""
"john-ozuysal","John Ozuysal","john-ozuysal","approved","Content SEO","Co-founder & CMO, Datapad","Datapad","","Growth marketer who drove 500+ SaaS signups via content. Shares ROI-driven SEO playbooks.","","","","","","Content SEO","","","","","","","","","","Growth marketer who drove 500+ SaaS signups via content. Shares ROI-driven SEO playbooks.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","John Ozuysal Co-founder & CMO, Datapad Content SEO SEO","normal",""
"jonathan-boshoff","Jonathan Boshoff","jonathan-boshoff","approved","AI SEO","AI SEO Consultant & Toolmaker","","","Publishes 50+ no-code AI SEO tools and guides on his site to streamline SEO tasks.","","","","","","AI SEO","","","","","","","","","","Publishes 50+ no-code AI SEO tools and guides on his site to streamline SEO tasks.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Jonathan Boshoff AI SEO Consultant & Toolmaker AI SEO SEO","normal",""
"josh-gallant","Josh Gallant","josh-gallant","approved","Content SEO","B2B SEO Lead","","","Known for cutting through jargon (“no BS”) when explaining B2B SEO.","","","","","","Content SEO","","","","","","","","","","Known for cutting through jargon (“no BS”) when explaining B2B SEO.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Josh Gallant B2B SEO Lead Content SEO SEO","normal",""
"joy-hawkins","Joy Hawkins","joy-hawkins","approved","Local SEO","Founder & CEO, Sterling Sky","Sterling Sky","","Local SEO expert and forum leader. Top go-to for local SEO news.","","","","","","Local SEO","","","","","","","","","","Local SEO expert and forum leader. Top go-to for local SEO news.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Joy Hawkins Founder & CEO, Sterling Sky Local SEO SEO","normal",""
"julian-goldie","Julian Goldie","julian-goldie","approved","Link Building","Founder, Goldie Agency","Goldie Agency","","Runs a link-building agency and a YouTube channel about agency life.","","","","","","Link Building","","","","","","","","","","Runs a link-building agency and a YouTube channel about agency life.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Julian Goldie Founder, Goldie Agency Link Building SEO","normal",""
"katarzyna-gajska","Katarzyna Gajska","katarzyna-gajska","approved","General SEO","CRO & UX Specialist","","","Polish CRO/UX expert blending SEO traffic with improved on-site UX for higher conversions.","","","","","","General SEO","","","","","","","","","","Polish CRO/UX expert blending SEO traffic with improved on-site UX for higher conversions.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Katarzyna Gajska CRO & UX Specialist General SEO SEO","normal",""
"kevin-indig","Kevin Indig","kevin-indig","approved","General SEO","Growth Advisor","","","Ex-Director of SEO at Shopify. Advocates product-led, user-focused SEO for large sites.","","","","","","General SEO","","","","","","","","","","Ex-Director of SEO at Shopify. Advocates product-led, user-focused SEO for large sites.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Kevin Indig Growth Advisor General SEO SEO","normal",""
"koray-tu-berk-g-b-r","Koray Tuğberk Gübür","koray-tu-berk-g-b-r","approved","Technical SEO","Founder, Holistic SEO","Holistic SEO","","Pioneer in topical authority and semantic search optimization. Publishes extensive studies.","","","","","","Technical SEO","","","","","","","","","","Pioneer in topical authority and semantic search optimization. Publishes extensive studies.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Koray Tuğberk Gübür Founder, Holistic SEO Technical SEO SEO","normal",""
"kristina-azarenko","Kristina Azarenko","kristina-azarenko","approved","Technical SEO","Founder, MarketingSyrup Academy","MarketingSyrup Academy","","Renowned for her comprehensive technical audit checklists and teaching SEOs how to get implementations done.","","","","","","Technical SEO","","","","","","","","","","Renowned for her comprehensive technical audit checklists and teaching SEOs how to get implementations done.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Kristina Azarenko Founder, MarketingSyrup Academy Technical SEO SEO","normal",""
"kuba-czubajewski","Kuba Czubajewski","kuba-czubajewski","approved","Content SEO","B2B SEO Content Strategist","","","“Content wizard” for B2B growth. Specializes in turning complex B2B topics into rankable content.","","","","","","Content SEO","","","","","","","","","","“Content wizard” for B2B growth. Specializes in turning complex B2B topics into rankable content.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Kuba Czubajewski B2B SEO Content Strategist Content SEO SEO","normal",""
"lazarina-stoy","Lazarina Stoy","lazarina-stoy","approved","AI SEO","SEO & ML Specialist","","","Blends data science with SEO. Writes about using machine learning for keyword clustering and automation.","","","","","","AI SEO","","","","","","","","","","Blends data science with SEO. Writes about using machine learning for keyword clustering and automation.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Lazarina Stoy SEO & ML Specialist AI SEO SEO","normal",""
"leigh-mckenzie","Leigh McKenzie","leigh-mckenzie","approved","General SEO","SEO Consultant","","","Experienced in both technical and content SEO. A “full-scope” generalist.","","","","","","General SEO","","","","","","","","","","Experienced in both technical and content SEO. A “full-scope” generalist.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Leigh McKenzie SEO Consultant General SEO SEO","normal",""
"liam-fallen","Liam Fallen","liam-fallen","approved","Content SEO","Founder, Speed Social","Speed Social","","Grows personal brands with funny, engaging content. Injects humor into SEO/marketing tips.","","","","","","Content SEO","","","","","","","","","","Grows personal brands with funny, engaging content. Injects humor into SEO/marketing tips.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Liam Fallen Founder, Speed Social Content SEO SEO","normal",""
"lidia-infante","Lidia Infante","lidia-infante","approved","Technical SEO","Head of Intl. SEO, SurveyMonkey","SurveyMonkey","","Advocates for diversity in search and frequently speaks on technical and international SEO best practices.","","","","","","Technical SEO","","","","","","","","","","Advocates for diversity in search and frequently speaks on technical and international SEO best practices.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Lidia Infante Head of Intl. SEO, SurveyMonkey Technical SEO SEO","normal",""
"lily-ray","Lily Ray","lily-ray","approved","Content SEO","VP of SEO, Amsive Digital","Amsive Digital","","Known for in-depth analyses of Google core algorithm updates and promoting E-E-A-T best practices.","","","","","","Content SEO","","","","","","","","","","Known for in-depth analyses of Google core algorithm updates and promoting E-E-A-T best practices.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Lily Ray VP of SEO, Amsive Digital Content SEO SEO","normal",""
"louis-smith","Louis Smith","louis-smith","approved","E-commerce SEO","Freelance eCommerce SEO Consultant","","","Helped brands earn $100M+ in monthly revenue via SEO. E-commerce SEO “monster”.","","","","","","E-commerce SEO","","","","","","","","","","Helped brands earn $100M+ in monthly revenue via SEO. E-commerce SEO “monster”.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Louis Smith Freelance eCommerce SEO Consultant E-commerce SEO SEO","normal",""
"maddie-pain","Maddie Pain","maddie-pain","approved","Content SEO","Freelance SEO Consultant","","","Improves inbound lead flow for ERP and SaaS companies. Uses content and technical SEO to drive B2B leads.","","","","","","Content SEO","","","","","","","","","","Improves inbound lead flow for ERP and SaaS companies. Uses content and technical SEO to drive B2B leads.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Maddie Pain Freelance SEO Consultant Content SEO SEO","normal",""
"maeva-cifuentes","Maeva Cifuentes","maeva-cifuentes","approved","Content SEO","Founder & CEO, Flying Cat Marketing","Flying Cat Marketing","","Pushes “revenue-based SEO” for SaaS. Hosts podcast on bridging SEO and sales enablement.","","","","","","Content SEO","","","","","","","","","","Pushes “revenue-based SEO” for SaaS. Hosts podcast on bridging SEO and sales enablement.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Maeva Cifuentes Founder & CEO, Flying Cat Marketing Content SEO SEO","normal",""
"marco-giordano","Marco Giordano","marco-giordano","approved","Technical SEO","Web Analytics Lead","","","Analytics “lord” bridging SEO & data. Shares complex GA4 and BigQuery techniques.","","","","","","Technical SEO","","","","","","","","","","Analytics “lord” bridging SEO & data. Shares complex GA4 and BigQuery techniques.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Marco Giordano Web Analytics Lead Technical SEO SEO","normal",""
"mark-williams-cook","Mark Williams-Cook","mark-williams-cook","approved","General SEO","Director, Candour","Candour","","Created AlsoAsked.com (People Also Ask tool). Shares tips via his podcast “Search with Candour”.","","","","","","General SEO","","","","","","","","","","Created AlsoAsked.com (People Also Ask tool). Shares tips via his podcast “Search with Candour”.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Mark Williams-Cook Director, Candour General SEO SEO","normal",""
"martin-greif","Martin Greif","martin-greif","approved","General SEO","President, SiteTuners","SiteTuners","","Globally recognized CRO expert. Known for tying SEO efforts to improved on-site conversion rates.","","","","","","General SEO","","","","","","","","","","Globally recognized CRO expert. Known for tying SEO efforts to improved on-site conversion rates.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Martin Greif President, SiteTuners General SEO SEO","normal",""
"martin-stepanek","Martin Stepanek","martin-stepanek","approved","Technical SEO","Founder, TechSEO Vitals","TechSEO Vitals","","Optimizes site speed and technical SEO for revenue gains. Consults on Core Web Vitals.","","","","","","Technical SEO","","","","","","","","","","Optimizes site speed and technical SEO for revenue gains. Consults on Core Web Vitals.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Martin Stepanek Founder, TechSEO Vitals Technical SEO SEO","normal",""
"matt-diggity","Matt Diggity","matt-diggity","approved","Affiliate SEO","Founder, Diggity Marketing","Diggity Marketing","","Affiliate SEO star (truly “immortal”). Revered for consistently ranking and flipping sites.","","","","","","Affiliate SEO","","","","","","","","","","Affiliate SEO star (truly “immortal”). Revered for consistently ranking and flipping sites.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Matt Diggity Founder, Diggity Marketing Affiliate SEO SEO","normal",""
"matt-emgi","Matt Emgi","matt-emgi","approved","Link Building","Founder, EMGI","EMGI","","Matt Emgi is an experienced Link Builder and SEO Consultant who has worked with clients across many SaaS verticals - AI SaaS, Lead Gen SaaS, HR SaaS, and Cybersecurity SaaS. He is the founder and Head of Link Building at EMGI Group.","","","","","","Link Building","","","","","","","","","","Runs EMGI Group focusing on SaaS link building. Known for building significant SaaS backlink profiles.","","","","","","","","","","","https://emgigroup.com/","","","","","","","https://emgigroup.com/","Populate with verifiable public data only.","","","Matt Emgi Founder, EMGI Link Building SEO","normal",""
